airport,airline,flight_count,avg_dep_delay,avg_arr_delay,cancellation_rate_pct,airport_avg_dep_delay,airport_total_flights,dep_delay_diff,rank_in_airport,anomaly_label
ABE,G4,915,7.73,0.24,1.75,11.13,2166,-3.4,1,NELLA_NORMA
ABE,9E,515,9.12,0.05,1.17,11.13,2166,-2.01,2,NELLA_NORMA
ABE,OH,586,12.18,1.09,0.68,11.13,2166,1.05,3,NELLA_NORMA
ABE,OO,150,35.18,24.33,4.0,11.13,2166,24.05,4,ANOMALO_PEGGIORE
ABI,MQ,902,8.04,5.25,1.0,8.04,902,0.0,1,NELLA_NORMA
ABQ,OO,1976,1.36,-2.56,0.15,9.52,11955,-8.16,1,NELLA_NORMA
ABQ,DL,741,1.53,-5.65,0.67,9.52,11955,-7.99,2,NELLA_NORMA
ABQ,MQ,473,5.7,3.62,0.42,9.52,11955,-3.82,3,NELLA_NORMA
ABQ,UA,879,6.37,0.89,1.37,9.52,11955,-3.15,4,NELLA_NORMA
ABQ,AS,219,8.6,4.14,0.46,9.52,11955,-0.92,5,NELLA_NORMA
ABQ,NK,263,10.2,6.13,0.76,9.52,11955,0.68,6,NELLA_NORMA
ABQ,WN,5745,10.47,4.23,0.52,9.52,11955,0.95,7,NELLA_NORMA
ABQ,AA,1531,19.2,16.66,2.02,9.52,11955,9.68,8,NELLA_NORMA
ABQ,B6,128,61.65,57.71,0.78,9.52,11955,52.13,9,ANOMALO_PEGGIORE
ABR,OO,367,25.59,17.32,0.54,25.59,367,0.0,1,NELLA_NORMA
ABY,9E,21,-0.1,-3.43,0.0,18.15,372,-18.25,1,ANOMALO_MIGLIORE
ABY,OO,351,19.25,17.81,0.57,18.15,372,1.1,2,NELLA_NORMA
ACK,B6,506,10.14,7.79,2.57,12.59,825,-2.45,1,NELLA_NORMA
ACK,YX,291,15.33,15.37,7.22,12.59,825,2.74,2,NELLA_NORMA
ACK,OO,17,25.25,11.75,5.88,12.59,825,12.66,3,NELLA_NORMA
ACK,MQ,11,36.27,38.45,0.0,12.59,825,23.68,4,ANOMALO_PEGGIORE
ACT,MQ,162,13.64,13.55,1.85,15.09,530,-1.45,1,NELLA_NORMA
ACT,OO,368,15.74,15.28,1.9,15.09,530,0.65,2,NELLA_NORMA
ACV,OO,878,16.02,14.64,1.71,16.02,878,0.0,1,NELLA_NORMA
ACY,NK,1606,8.53,1.36,1.56,8.53,1606,0.0,1,NELLA_NORMA
ADK,AS,55,-7.42,-8.56,12.73,-7.42,55,0.0,1,NELLA_NORMA
ADQ,AS,432,2.22,0.65,2.31,2.22,432,0.0,1,NELLA_NORMA
AEX,9E,436,12.21,7.0,0.92,16.16,999,-3.95,1,NELLA_NORMA
AEX,OO,546,19.17,15.19,1.65,16.16,999,3.01,2,NELLA_NORMA
AEX,MQ,17,21.41,22.59,0.0,16.16,999,5.25,3,NELLA_NORMA
AGS,YX,18,5.39,-6.44,0.0,15.4,2040,-10.01,1,NELLA_NORMA
AGS,DL,71,7.28,2.49,0.0,15.4,2040,-8.12,2,NELLA_NORMA
AGS,MQ,101,8.92,-1.02,1.98,15.4,2040,-6.48,3,NELLA_NORMA
AGS,9E,825,11.39,6.0,1.82,15.4,2040,-4.01,4,NELLA_NORMA
AGS,OH,796,17.7,16.48,2.64,15.4,2040,2.3,5,NELLA_NORMA
AGS,OO,215,26.3,20.15,0.93,15.4,2040,10.9,6,NELLA_NORMA
AGS,AA,14,54.64,49.0,0.0,15.4,2040,39.24,7,ANOMALO_PEGGIORE
AKN,AS,68,-2.25,-0.07,0.0,-2.25,68,0.0,1,NELLA_NORMA
ALB,MQ,90,0.98,-2.39,0.0,12.42,6073,-11.44,1,NELLA_NORMA
ALB,YX,177,2.39,-3.82,0.56,12.42,6073,-10.03,2,NELLA_NORMA
ALB,9E,552,4.16,-5.65,2.17,12.42,6073,-8.26,3,NELLA_NORMA
ALB,UA,390,8.23,4.01,1.03,12.42,6073,-4.19,4,NELLA_NORMA
ALB,DL,684,10.19,0.58,1.46,12.42,6073,-2.23,5,NELLA_NORMA
ALB,OO,446,11.81,6.06,0.22,12.42,6073,-0.61,6,NELLA_NORMA
ALB,WN,1765,12.33,4.85,1.02,12.42,6073,-0.09,7,NELLA_NORMA
ALB,OH,584,16.07,12.59,2.91,12.42,6073,3.65,8,NELLA_NORMA
ALB,B6,375,16.4,9.46,1.87,12.42,6073,3.98,9,NELLA_NORMA
ALB,AA,730,18.17,11.9,0.96,12.42,6073,5.75,10,NELLA_NORMA
ALB,G4,280,23.66,13.8,1.43,12.42,6073,11.24,11,NELLA_NORMA
ALW,OO,281,-0.24,2.65,3.2,-0.24,281,0.0,1,NELLA_NORMA
AMA,WN,939,7.1,0.66,0.64,9.63,2510,-2.53,1,NELLA_NORMA
AMA,MQ,1031,7.96,5.93,1.55,9.63,2510,-1.67,2,NELLA_NORMA
AMA,AA,99,17.27,16.06,4.04,9.63,2510,7.64,3,NELLA_NORMA
AMA,OO,441,17.39,14.51,2.49,9.63,2510,7.76,4,NELLA_NORMA
ANC,AS,7186,3.49,0.71,1.5,5.79,9327,-2.3,1,NELLA_NORMA
ANC,DL,1241,10.59,0.84,0.73,5.79,9327,4.8,2,NELLA_NORMA
ANC,UA,647,12.88,1.86,2.01,5.79,9327,7.09,3,NELLA_NORMA
ANC,AA,253,29.01,16.57,0.0,5.79,9327,23.22,4,ANOMALO_PEGGIORE
APN,OO,315,21.44,14.77,4.44,21.44,315,0.0,1,NELLA_NORMA
ASE,OO,3938,25.74,20.09,6.04,25.74,3938,0.0,1,NELLA_NORMA
ATL,9E,13472,6.45,2.31,1.22,11.18,171378,-4.73,1,NELLA_NORMA
ATL,YX,622,7.37,4.81,2.25,11.18,171378,-3.81,2,NELLA_NORMA
ATL,AS,746,8.57,3.51,2.28,11.18,171378,-2.61,3,NELLA_NORMA
ATL,DL,114243,9.47,5.56,0.85,11.18,171378,-1.71,4,NELLA_NORMA
