airport,month,avg_arr_delay,avg_dep_delay,delay_band,flight_count,top3_causes
ABE,1,234.03,241.3,alto,60,"[('Carrier', 6268.0)]"
ABE,1,-13.9,-5.3,basso,576,"[('Carrier', 6268.0)]"
ABE,1,31.45,34.32,medio,62,"[('Carrier', 6268.0)]"
ABE,2,217.93,227.93,alto,28,"[('Carrier', 3524.0)]"
ABE,2,-19.31,-6.58,basso,600,"[('Carrier', 3524.0)]"
ABE,2,9.6,29.7,medio,40,"[('Carrier', 3524.0)]"
ABE,3,163.39,173.43,alto,46,"[('Carrier', 3176.0)]"
ABE,3,-18.26,-6.15,basso,682,"[('Carrier', 3176.0)]"
ABE,3,19.89,30.68,medio,56,"[('Carrier', 3176.0)]"
ABE,4,250.38,258.66,alto,58,"[('Carrier', 8484.0)]"
ABE,4,-17.13,-6.44,basso,612,"[('Carrier', 8484.0)]"
ABE,4,27.66,33.45,medio,58,"[('Carrier', 8484.0)]"
ABE,5,172.7,180.63,alto,80,"[('Carrier', 3610.0)]"
ABE,5,-12.31,-6.3,basso,650,"[('Carrier', 3610.0)]"
ABE,5,29.58,30.08,medio,52,"[('Carrier', 3610.0)]"
ABE,6,167.79,173.92,alto,76,"[('Carrier', 6576.0)]"
ABE,6,-16.26,-6.8,basso,678,"[('Carrier', 6576.0)]"
ABE,6,16.76,27.39,medio,76,"[('Carrier', 6576.0)]"
ABE,7,137.08,138.08,alto,74,"[('Carrier', 4810.0)]"
ABE,7,-9.98,-6.01,basso,594,"[('Carrier', 4810.0)]"
ABE,7,30.15,34.61,medio,82,"[('Carrier', 4810.0)]"
ABE,8,144.3,146.96,alto,54,"[('Carrier', 3018.0)]"
ABE,8,-13.59,-6.46,basso,598,"[('Carrier', 3018.0)]"
ABE,8,27.98,32.02,medio,84,"[('Carrier', 3018.0)]"
ABE,9,177.8,181.93,alto,30,"[('Carrier', 2160.0)]"
ABE,9,-15.68,-6.76,basso,560,"[('Carrier', 2160.0)]"
ABE,9,31.56,37.84,medio,50,"[('Carrier', 2160.0)]"
ABE,10,183.83,193.17,alto,36,"[('Carrier', 3128.0)]"
ABE,10,-17.22,-5.82,basso,628,"[('Carrier', 3128.0)]"
ABE,10,11.97,26.23,medio,62,"[('Carrier', 3128.0)]"
ABE,11,152.43,165.21,alto,28,"[('Carrier', 1628.0)]"
ABE,11,-16.63,-6.35,basso,558,"[('Carrier', 1628.0)]"
ABE,11,21.75,31.63,medio,48,"[('Carrier', 1628.0)]"
ABE,12,222.15,229.03,alto,68,"[('Carrier', 8394.0)]"
ABE,12,-12.54,-4.8,basso,560,"[('Carrier', 8394.0)]"
ABE,12,23.85,32.5,medio,68,"[('Carrier', 8394.0)]"
ABI,1,115.0,112.5,alto,28,"[('Carrier', 212.0)]"
ABI,1,-4.02,-6.29,basso,252,"[('Carrier', 212.0)]"
ABI,1,36.73,38.91,medio,22,"[('Carrier', 212.0)]"
ABI,2,88.0,99.0,alto,2,"[('Carrier', 280.0)]"
ABI,2,-5.87,-6.43,basso,264,"[('Carrier', 280.0)]"
ABI,2,33.75,33.88,medio,16,"[('Carrier', 280.0)]"
ABI,3,134.08,132.67,alto,24,"[('Carrier', 1106.0)]"
ABI,3,-6.84,-4.14,basso,244,"[('Carrier', 1106.0)]"
ABI,3,27.08,24.08,medio,26,"[('Carrier', 1106.0)]"
ABI,4,126.17,129.67,alto,24,"[('Carrier', 108.0)]"
ABI,4,-9.64,-4.08,basso,236,"[('Carrier', 108.0)]"
ABI,4,29.6,31.47,medio,30,"[('Carrier', 108.0)]"
ABI,5,195.59,190.68,alto,44,"[('Carrier', 2518.0)]"
ABI,5,-6.8,-2.82,basso,192,"[('Carrier', 2518.0)]"
ABI,5,25.04,27.88,medio,52,"[('Carrier', 2518.0)]"
ABI,6,108.77,116.54,alto,26,"[('Carrier', 1050.0)]"
ABI,6,-10.07,-4.57,basso,228,"[('Carrier', 1050.0)]"
ABI,6,25.72,28.33,medio,36,"[('Carrier', 1050.0)]"
