airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
9E,ABE,515,-47.0,575.0,0.05,1.17,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ABY,21,-25.0,35.0,-3.43,0.0,[ 1  2  3 11 12]
9E,AEX,436,-34.0,598.0,7.0,0.92,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AGS,825,-36.0,526.0,6.0,1.82,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ALB,552,-44.0,288.0,-5.65,2.17,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATL,13472,-40.0,991.0,2.31,1.22,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATW,93,-27.0,228.0,2.39,0.0,[ 1  4  5  6  7  8 10]
9E,AUS,178,-28.0,1225.0,13.88,0.56,[ 1  2  3  4  5  6  7 11]
9E,AVL,370,-43.0,949.0,5.22,2.7,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AZO,8,-22.0,71.0,-0.38,0.0,[1]
9E,BDL,199,-31.0,170.0,-0.79,2.01,[ 1  2  3  4  5  6  7  8  9 10 12]
9E,BGM,184,-50.0,359.0,-0.6,4.35,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BGR,609,-44.0,395.0,-3.24,3.94,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BHM,545,-50.0,730.0,-0.61,3.3,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BIS,5,-14.0,19.0,5.6,0.0,[7 8 9]
9E,BMI,378,-37.0,318.0,-1.26,1.85,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BNA,596,-43.0,1214.0,15.37,3.52,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BOS,5,-38.0,-7.0,-22.75,20.0,[1]
9E,BQK,69,-31.0,508.0,16.86,0.0,[ 3  4  6 11 12]
9E,BTR,266,-34.0,242.0,2.6,1.5,[ 1  2  3  5  6  7  8  9 10 11 12]
9E,BTV,905,-48.0,916.0,-0.28,3.09,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BUF,984,-49.0,996.0,0.33,2.95,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BWI,256,-45.0,494.0,10.31,6.64,[ 1  2  3  4  5  6  7  8  9 10]
9E,CAE,626,-37.0,401.0,1.03,1.92,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHA,737,-41.0,411.0,2.38,0.54,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHO,911,-43.0,1063.0,2.67,2.31,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHS,1002,-46.0,726.0,4.28,4.49,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CID,77,-28.0,129.0,-0.48,0.0,[ 1  4  5  9 10 11]
9E,CLE,1216,-46.0,1049.0,5.74,2.47,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CLT,1607,-52.0,1027.0,8.66,4.11,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CMH,128,-38.0,277.0,-1.47,0.0,[ 1  3  4  5  6  8  9 10 11 12]
9E,CRW,80,-36.0,75.0,-6.94,0.0,[ 1  3  4  9 10 11 12]
9E,CSG,286,-35.0,456.0,5.31,2.8,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CVG,3325,-46.0,594.0,0.38,2.02,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CWA,346,-39.0,386.0,-3.01,0.87,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DAY,242,-38.0,558.0,-2.54,2.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DCA,1000,-41.0,1010.0,8.61,2.4,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DFW,2,127.0,133.0,130.0,0.0,[12]
9E,DHN,256,-41.0,378.0,3.09,0.78,[ 1  2  3  4  5  6  9 10 11 12]
9E,DLH,85,-27.0,241.0,11.28,2.35,[4 5 6 7 8 9]
9E,DSM,1254,-39.0,1272.0,2.51,1.52,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DTW,6380,-41.0,941.0,-0.21,0.92,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ECP,14,-22.0,211.0,34.79,0.0,[1]
9E,EVV,357,-37.0,289.0,-4.41,0.56,[ 1  2  3  6  7  8  9 10 11 12]
9E,EWR,783,-47.0,1103.0,18.51,2.68,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,EYW,79,-25.0,532.0,13.74,1.27,[ 1  2  3  4  5 12]
9E,FAR,113,-35.0,267.0,2.26,0.88,[ 1  2  3  4  5  6  7  8  9 10 11]
9E,FAY,184,-30.0,386.0,3.59,0.0,[ 1  2  3  4  5  6  9 10 11 12]
9E,FLL,11,-21.0,89.0,21.91,0.0,[ 1 12]
9E,FSD,161,-33.0,173.0,4.64,1.24,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,FWA,121,-54.0,351.0,-2.19,0.83,[1 2 3]
9E,GFK,39,-38.0,231.0,1.9,0.0,[ 1  2  3 12]
9E,GNV,58,-26.0,114.0,-8.86,1.72,[ 1  3  4  6  7  8 11 12]
9E,GPT,22,-29.0,221.0,8.55,0.0,[ 1 12]
9E,GRB,38,-40.0,331.0,-4.34,0.0,[ 1  4  5 10]
9E,GRR,483,-42.0,312.0,-3.13,4.14,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,GSO,778,-41.0,879.0,-1.97,3.08,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,GSP,694,-38.0,829.0,-0.36,2.16,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,GTR,371,-38.0,381.0,-4.66,1.35,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,HPN,482,-45.0,899.0,4.27,1.66,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,HSV,278,-32.0,242.0,1.72,1.8,[ 1  2  3  4  5  6  7  8 10 11 12]
9E,IAD,197,-55.0,180.0,-5.91,0.0,[ 1  2  3  4  9 10 11 12]
9E,ICT,83,-34.0,90.0,2.82,0.0,[ 1  2  3 11 12]
9E,ILM,641,-39.0,353.0,1.04,2.03,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,IND,1204,-48.0,1086.0,-0.47,2.33,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ITH,376,-55.0,337.0,-7.96,2.66,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,JAN,129,-30.0,86.0,0.64,0.78,[ 1  2  9 10 11 12]
9E,JAX,443,-52.0,942.0,1.38,3.16,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,JFK,8527,-60.0,1082.0,1.71,3.45,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,LAN,65,-32.0,280.0,0.26,0.0,[ 1  2  3  7  8  9 10]
9E,LEX,101,-38.0,177.0,-2.62,0.0,[ 1  2  3  4  5 11 12]
9E,LFT,393,-38.0,1171.0,4.19,1.02,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,LGA,16071,-69.0,1100.0,-3.1,3.49,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,LIT,152,-39.0,195.0,7.82,1.97,[ 1  2  3  4  6  7  8  9 10 11 12]
9E,MBS,45,-26.0,95.0,-6.76,0.0,[4 5 6 7 8]
9E,MCI,601,-42.0,900.0,4.9,3.99,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MDT,138,-50.0,391.0,0.12,0.72,[ 1  2  3  4  5 11 12]
9E,MEM,552,-39.0,1305.0,0.27,3.26,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MGM,445,-35.0,1132.0,10.0,1.35,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MIA,9,-23.0,82.0,33.56,0.0,[ 1 12]
9E,MKE,455,-45.0,831.0,9.21,2.2,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MLI,382,-36.0,381.0,1.02,2.36,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MLU,433,-37.0,885.0,5.95,0.69,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MOB,374,-33.0,1136.0,2.86,1.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MQT,61,-45.0,87.0,-15.83,3.28,[1 2 3 5 6]
9E,MSN,357,-36.0,251.0,-1.89,1.4,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MSP,3827,-50.0,832.0,3.48,0.65,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MSY,2,-42.0,-13.0,-27.5,0.0,[1]
9E,MYR,275,-42.0,301.0,-6.76,2.55,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,OAJ,284,-39.0,1157.0,1.3,0.0,[ 1  2  3  4  5  6  7  9 10 11 12]
9E,OKC,2,-12.0,8.0,-2.0,0.0,[11]
9E,OMA,240,-39.0,752.0,5.73,2.92,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ORD,46,-22.0,266.0,7.11,2.17,[ 1  3  4  7 10 11]
9E,ORF,1074,-38.0,371.0,5.19,2.23,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ORH,163,-40.0,1027.0,11.2,5.52,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,PHL,82,-37.0,371.0,-2.89,0.0,[ 1  2  3 11 12]
9E,PIT,911,-47.0,942.0,8.23,2.41,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,PNS,122,-37.0,1021.0,10.3,0.82,[ 1  2  3  4  5  6  7  8  9 11 12]
9E,PVD,368,-37.0,1024.0,-0.2,2.72,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,PWM,436,-39.0,1151.0,12.23,4.13,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,RAP,93,-33.0,951.0,18.8,0.0,[ 6  7  8 11 12]
9E,RDU,3166,-45.0,1018.0,7.95,2.97,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,RIC,1017,-46.0,1101.0,6.86,2.75,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ROA,494,-41.0,830.0,5.93,2.23,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ROC,1362,-49.0,1184.0,2.41,3.45,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,RST,117,-34.0,220.0,4.05,1.71,[ 1  2  3  4  6  7  8  9 10 12]
9E,RSW,10,-28.0,78.0,9.7,0.0,[ 1 12]
9E,SAV,916,-40.0,705.0,2.21,3.28,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,SBN,6,-21.0,-9.0,-13.67,0.0,[ 9 11 12]
9E,SDF,82,-33.0,151.0,5.46,1.22,[ 1  2  4  5  6  7  8 12]
9E,SGF,338,-40.0,178.0,0.07,0.3,[ 1  2  3  4  5  7  8  9 10 11 12]
9E,SHV,601,-37.0,667.0,0.86,0.83,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,STL,751,-42.0,836.0,-0.79,3.6,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,SYR,1032,-47.0,677.0,-4.07,2.62,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,TLH,318,-31.0,1143.0,11.84,1.89,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,TPA,3,-3.0,291.0,96.33,0.0,[12]
9E,TRI,559,-40.0,685.0,-1.29,0.72,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,TUL,142,-44.0,108.0,-2.64,0.0,[ 1  2  3  4  5  6  9 10 11 12]
9E,TVC,115,-37.0,151.0,-1.29,1.74,[ 1  4  5  6  7  8  9 10 11]
9E,TYS,1486,-42.0,781.0,-4.02,1.82,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,VLD,353,-34.0,405.0,5.56,2.55,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,VPS,10,-3.0,102.0,36.3,0.0,[ 1  2  3  9 10]
9E,XNA,952,-44.0,894.0,2.18,0.74,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ABQ,1531,-33.0,1092.0,16.66,2.02,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AGS,14,-20.0,179.0,49.0,0.0,[4]
AA,ALB,730,-66.0,1454.0,11.9,0.96,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AMA,99,-31.0,977.0,16.06,4.04,[ 1  2 10 11 12]
AA,ANC,253,-47.0,1373.0,16.57,0.0,[ 1  3  4  5  6  7  8  9 10 11 12]
AA,ATL,3830,-53.0,1399.0,17.02,2.04,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AUS,6952,-47.0,1487.0,16.37,1.51,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AVL,246,-39.0,1119.0,44.09,6.1,[ 1  2  4  5  6  7  8  9 10 11 12]
AA,AVP,390,-35.0,1141.0,16.15,1.28,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BDL,1958,-48.0,1388.0,10.02,1.63,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BFL,470,-40.0,1106.0,7.34,0.64,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BGR,319,-37.0,1015.0,23.35,2.82,[ 6  7  8  9 10 11]
AA,BHM,202,-29.0,995.0,28.08,1.98,[ 1  2  5  6  9 10 11 12]
AA,BNA,4260,-40.0,1463.0,19.44,2.18,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BOI,441,-40.0,727.0,5.51,1.81,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BOS,8488,-68.0,1462.0,4.74,1.41,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BTV,368,-38.0,1092.0,9.97,1.63,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BUF,1066,-52.0,1477.0,18.59,1.22,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BUR,616,-45.0,959.0,12.39,0.97,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BWI,1918,-61.0,944.0,7.34,1.82,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BZN,445,-47.0,1472.0,23.58,0.45,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CAE,358,-38.0,1046.0,23.19,2.51,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CHS,2434,-43.0,1322.0,12.8,1.6,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CID,662,-44.0,1111.0,28.99,3.17,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CLE,2362,-62.0,1168.0,9.68,1.86,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CLT,63316,-65.0,1472.0,17.16,1.33,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CMH,1761,-56.0,1432.0,14.18,1.53,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,COS,540,-43.0,1478.0,18.99,2.22,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CVG,1692,-55.0,1335.0,14.62,2.13,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DAB,161,-27.0,222.0,2.68,1.86,[1 2 3 4 5 6]
AA,DCA,13722,-71.0,1453.0,9.66,1.57,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DEN,4196,-62.0,1463.0,13.6,1.81,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DFW,83286,-63.0,1490.0,19.34,1.94,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DRO,4,-9.0,137.0,64.5,0.0,[6 7 8]
AA,DSM,1223,-69.0,1439.0,18.79,1.39,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DTW,2973,-57.0,1052.0,9.79,1.88,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ECP,334,-30.0,1241.0,38.76,2.69,[ 1  2  3  4  5  6  7  8  9 10 12]
AA,EGE,645,-55.0,1363.0,39.56,1.24,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ELP,1359,-30.0,1101.0,12.13,2.06,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,EUG,373,-33.0,1279.0,16.84,2.14,[ 1  2  3  4  5  6  7  8  9 10 11 12]
