airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
9E,GSP,357,-38.0,829.0,0.58,2.8,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,GTR,190,-38.0,131.0,-8.17,0.53,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,HPN,231,-42.0,373.0,5.24,1.73,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,HSV,131,-32.0,220.0,2.02,2.29,[ 1  2  3  4  5  6  7  8 10 11 12]
9E,IAD,88,-46.0,180.0,-5.35,0.0,[ 1  2  3  4  9 10 11 12]
9E,ICT,33,-28.0,81.0,3.55,0.0,[ 1  2  3 11 12]
9E,ILM,319,-39.0,353.0,3.22,0.63,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,IND,613,-48.0,316.0,-1.52,1.63,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ITH,179,-52.0,262.0,-5.15,1.12,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,JAN,62,-29.0,64.0,-2.64,1.61,[ 1  2  9 10 11 12]
9E,JAX,233,-39.0,144.0,-3.91,2.58,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,JFK,4251,-59.0,994.0,1.74,3.48,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,LAN,32,-23.0,280.0,7.5,0.0,[ 1  2  3  7  8  9 10]
9E,LEX,53,-35.0,177.0,1.45,0.0,[ 1  2  3  4  5 11 12]
9E,LFT,179,-38.0,1171.0,4.57,0.0,[ 1  2  3  4  5  6  7  9 10 11 12]
9E,LGA,8109,-69.0,1100.0,-3.04,3.56,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,LIT,78,-28.0,189.0,8.09,2.56,[ 1  2  3  6  7  8  9 10 11 12]
9E,MBS,16,-26.0,9.0,-9.13,0.0,[4 5 7 8]
9E,MCI,315,-39.0,900.0,6.85,4.76,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MDT,69,-44.0,204.0,-0.35,0.0,[ 1  2  3  4  5 11 12]
9E,MEM,259,-34.0,1305.0,3.68,2.32,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MGM,239,-31.0,446.0,7.28,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MIA,6,-23.0,82.0,20.67,0.0,[ 1 12]
9E,MKE,242,-42.0,831.0,10.52,2.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MLI,185,-36.0,297.0,0.76,0.54,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MLU,201,-36.0,277.0,3.72,0.5,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MOB,169,-30.0,278.0,1.61,1.78,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MQT,29,-45.0,48.0,-17.48,0.0,[1 2 3 5 6]
9E,MSN,197,-34.0,224.0,-2.78,1.52,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MSP,1908,-50.0,832.0,2.7,0.73,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,MSY,2,-42.0,-13.0,-27.5,0.0,[1]
9E,MYR,150,-42.0,301.0,-4.28,2.67,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,OAJ,147,-39.0,1157.0,9.95,0.0,[ 1  2  3  4  5  6  7  9 10 11 12]
9E,OMA,115,-36.0,271.0,2.57,1.74,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ORD,19,-21.0,72.0,-1.26,0.0,[ 1  3  4  7 10 11]
9E,ORF,548,-38.0,311.0,4.7,1.82,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ORH,81,-40.0,909.0,2.33,3.7,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,PHL,41,-35.0,371.0,0.98,0.0,[ 1  2  3 11 12]
