airport,airline,flight_count,avg_dep_delay,avg_arr_delay,cancellation_rate_pct,airport_avg_dep_delay,airport_total_flights,dep_delay_diff,rank_in_airport,anomaly_label
ABE,G4,1839,8.43,0.64,1.63,11.81,4336,-3.38,1,NELLA_NORMA
ABE,9E,1017,9.42,0.67,1.38,11.81,4336,-2.39,2,NELLA_NORMA
ABE,OH,1165,14.25,3.12,1.29,11.81,4336,2.44,3,NELLA_NORMA
ABE,OO,315,30.63,22.01,3.81,11.81,4336,18.82,4,ANOMALO_PEGGIORE
ABI,MQ,1757,7.26,4.41,0.85,7.26,1757,0.0,1,NELLA_NORMA
ABQ,DL,1547,1.75,-5.59,0.9,9.13,24088,-7.38,1,NELLA_NORMA
ABQ,OO,3987,2.1,-2.05,0.45,9.13,24088,-7.03,2,NELLA_NORMA
ABQ,MQ,907,5.28,3.25,0.66,9.13,24088,-3.85,3,NELLA_NORMA
ABQ,UA,1822,5.48,-0.32,1.04,9.13,24088,-3.65,4,NELLA_NORMA
ABQ,AS,423,8.42,4.52,0.95,9.13,24088,-0.71,5,NELLA_NORMA
ABQ,NK,525,9.08,5.21,1.14,9.13,24088,-0.05,6,NELLA_NORMA
ABQ,WN,11610,10.47,4.34,0.53,9.13,24088,1.34,7,NELLA_NORMA
ABQ,AA,3012,17.29,14.6,2.09,9.13,24088,8.16,8,NELLA_NORMA
ABQ,B6,255,48.96,45.11,1.96,9.13,24088,39.83,9,ANOMALO_PEGGIORE
ABR,OO,728,19.3,10.72,0.82,19.3,728,0.0,1,NELLA_NORMA
ABY,9E,38,9.53,4.37,0.0,17.23,765,-7.7,1,NELLA_NORMA
ABY,OO,727,17.64,16.5,0.96,17.23,765,0.41,2,NELLA_NORMA
ACK,B6,1007,11.6,8.42,3.87,13.27,1675,-1.67,1,NELLA_NORMA
ACK,YX,619,14.99,15.23,8.4,13.27,1675,1.72,2,NELLA_NORMA
ACK,MQ,22,21.82,22.68,0.0,13.27,1675,8.55,3,NELLA_NORMA
ACK,OO,27,30.54,18.04,3.7,13.27,1675,17.27,4,ANOMALO_PEGGIORE
ACT,OO,750,14.17,14.08,2.67,15.51,1087,-1.34,1,NELLA_NORMA
ACT,MQ,337,18.48,18.01,2.08,15.51,1087,2.97,2,NELLA_NORMA
ACV,OO,1737,19.81,17.94,1.9,19.81,1737,0.0,1,NELLA_NORMA
ACY,NK,3052,8.88,1.75,1.83,8.88,3052,0.0,1,NELLA_NORMA
ADK,AS,104,-6.06,-6.83,7.69,-6.06,104,0.0,1,NELLA_NORMA
ADQ,AS,816,2.66,1.35,2.08,2.66,816,0.0,1,NELLA_NORMA
AEX,9E,878,14.56,9.6,1.03,16.84,1966,-2.28,1,NELLA_NORMA
AEX,OO,1055,18.04,13.54,2.27,16.84,1966,1.2,2,NELLA_NORMA
AEX,MQ,33,39.67,39.12,0.0,16.84,1966,22.83,3,ANOMALO_PEGGIORE
AGS,MQ,192,8.14,0.4,2.6,16.72,4020,-8.58,1,NELLA_NORMA
AGS,YX,31,9.94,-0.71,0.0,16.72,4020,-6.78,2,NELLA_NORMA
AGS,9E,1603,12.48,6.96,2.06,16.72,4020,-4.24,3,NELLA_NORMA
AGS,DL,168,17.85,12.74,0.0,16.72,4020,1.13,4,NELLA_NORMA
AGS,OH,1571,18.91,17.38,2.74,16.72,4020,2.19,5,NELLA_NORMA
AGS,OO,432,27.2,20.63,1.16,16.72,4020,10.48,6,NELLA_NORMA
AGS,AA,23,36.48,34.35,0.0,16.72,4020,19.76,7,ANOMALO_PEGGIORE
AKN,AS,178,-6.34,-3.27,0.56,-6.34,178,0.0,1,NELLA_NORMA
ALB,MQ,186,2.77,0.95,0.0,12.93,12042,-10.16,1,NELLA_NORMA
ALB,YX,332,3.24,-2.18,1.51,12.93,12042,-9.69,2,NELLA_NORMA
ALB,9E,1089,4.75,-4.38,1.93,12.93,12042,-8.18,3,NELLA_NORMA
ALB,UA,745,5.95,2.18,1.21,12.93,12042,-6.98,4,NELLA_NORMA
ALB,OO,834,9.54,4.0,0.24,12.93,12042,-3.39,5,NELLA_NORMA
ALB,WN,3532,11.38,3.81,0.91,12.93,12042,-1.55,6,NELLA_NORMA
ALB,DL,1352,13.36,3.75,1.41,12.93,12042,0.43,7,NELLA_NORMA
ALB,OH,1167,17.22,13.58,3.08,12.93,12042,4.29,8,NELLA_NORMA
ALB,B6,779,18.44,12.94,1.28,12.93,12042,5.51,9,NELLA_NORMA
ALB,AA,1453,20.52,13.76,0.83,12.93,12042,7.59,10,NELLA_NORMA
ALB,G4,573,24.64,15.53,1.4,12.93,12042,11.71,11,NELLA_NORMA
ALW,OO,544,0.2,2.82,3.31,0.2,544,0.0,1,NELLA_NORMA
AMA,WN,1941,7.14,0.94,0.52,9.28,5086,-2.14,1,NELLA_NORMA
AMA,MQ,2070,7.8,5.53,1.69,9.28,5086,-1.48,2,NELLA_NORMA
AMA,OO,870,14.56,11.78,1.72,9.28,5086,5.28,3,NELLA_NORMA
AMA,AA,205,22.63,21.83,2.44,9.28,5086,13.35,4,NELLA_NORMA
ANC,AS,14279,3.72,0.98,1.63,6.1,18542,-2.38,1,NELLA_NORMA
ANC,UA,1294,11.54,0.67,1.85,6.1,18542,5.44,2,NELLA_NORMA
ANC,DL,2468,11.78,1.73,0.73,6.1,18542,5.68,3,NELLA_NORMA
ANC,AA,501,31.18,18.54,0.4,6.1,18542,25.08,4,ANOMALO_PEGGIORE
APN,OO,629,16.04,9.79,3.18,16.04,629,0.0,1,NELLA_NORMA
ASE,OO,7887,26.03,20.24,6.54,26.03,7887,0.0,1,NELLA_NORMA
ATL,9E,26877,6.58,2.45,1.09,11.01,341897,-4.43,1,NELLA_NORMA
ATL,YX,1233,8.85,6.09,1.78,11.01,341897,-2.16,2,NELLA_NORMA
ATL,AS,1440,9.2,4.06,2.01,11.01,341897,-1.81,3,NELLA_NORMA
ATL,DL,227628,9.23,5.34,0.86,11.01,341897,-1.78,4,NELLA_NORMA
ATL,WN,33394,12.62,6.55,0.66,11.01,341897,1.61,5,NELLA_NORMA
ATL,UA,7346,12.95,7.46,1.63,11.01,341897,1.94,6,NELLA_NORMA
ATL,MQ,665,15.52,12.79,1.95,11.01,341897,4.51,7,NELLA_NORMA
ATL,OH,2483,17.14,13.65,1.61,11.01,341897,6.13,8,NELLA_NORMA
ATL,AA,7708,20.21,16.03,1.73,11.01,341897,9.2,9,NELLA_NORMA
ATL,NK,10205,20.3,13.26,1.71,11.01,341897,9.29,10,NELLA_NORMA
ATL,OO,8235,20.88,17.41,0.77,11.01,341897,9.87,11,NELLA_NORMA
ATL,B6,3007,22.52,17.56,1.56,11.01,341897,11.51,12,NELLA_NORMA
ATL,F9,11676,25.18,20.74,2.49,11.01,341897,14.17,13,NELLA_NORMA
ATW,G4,1318,7.54,0.29,1.97,15.69,6259,-8.15,1,NELLA_NORMA
ATW,9E,176,10.79,9.34,0.0,15.69,6259,-4.9,2,NELLA_NORMA
ATW,DL,325,10.8,2.75,0.92,15.69,6259,-4.89,3,NELLA_NORMA
ATW,MQ,753,13.71,6.83,1.33,15.69,6259,-1.98,4,NELLA_NORMA
ATW,OO,3687,19.69,15.99,2.06,15.69,6259,4.0,5,NELLA_NORMA
AUS,YX,121,2.12,-3.23,0.0,14.33,85327,-12.21,1,NELLA_NORMA
AUS,OH,25,9.28,0.04,0.0,14.33,85327,-5.05,2,NELLA_NORMA
AUS,UA,9567,10.31,4.43,1.38,14.33,85327,-4.02,3,NELLA_NORMA
AUS,AS,2837,11.14,8.29,2.57,14.33,85327,-3.19,4,NELLA_NORMA
AUS,WN,37521,11.76,5.61,0.64,14.33,85327,-2.57,5,NELLA_NORMA
AUS,MQ,2281,13.06,10.94,1.45,14.33,85327,-1.27,6,NELLA_NORMA
AUS,DL,11200,14.11,6.82,0.83,14.33,85327,-0.22,7,NELLA_NORMA
AUS,9E,379,15.29,14.15,0.53,14.33,85327,0.96,8,NELLA_NORMA
AUS,NK,1091,18.5,11.2,2.47,14.33,85327,4.17,9,NELLA_NORMA
AUS,G4,1102,20.44,16.85,1.91,14.33,85327,6.11,10,NELLA_NORMA
AUS,AA,13844,20.75,17.35,1.49,14.33,85327,6.42,11,NELLA_NORMA
AUS,OO,3696,21.57,16.98,0.32,14.33,85327,7.24,12,NELLA_NORMA
AUS,HA,165,21.8,26.27,0.61,14.33,85327,7.47,13,NELLA_NORMA
AUS,F9,705,25.04,20.88,1.7,14.33,85327,10.71,14,NELLA_NORMA
AUS,B6,793,33.11,24.05,1.01,14.33,85327,18.78,15,ANOMALO_PEGGIORE
AVL,YX,1129,7.97,2.42,4.43,15.89,12081,-7.92,1,NELLA_NORMA
AVL,9E,675,10.39,1.91,2.07,15.89,12081,-5.5,2,NELLA_NORMA
AVL,UA,188,11.29,5.99,3.19,15.89,12081,-4.6,3,NELLA_NORMA
AVL,OH,2075,11.81,11.15,2.84,15.89,12081,-4.08,4,NELLA_NORMA
AVL,DL,2268,12.26,3.49,2.51,15.89,12081,-3.63,5,NELLA_NORMA
AVL,OO,724,16.29,13.39,4.01,15.89,12081,0.4,6,NELLA_NORMA
AVL,G4,3270,17.9,14.34,3.15,15.89,12081,2.01,7,NELLA_NORMA
AVL,MQ,1181,22.6,19.8,2.71,15.89,12081,6.71,8,NELLA_NORMA
AVL,B6,83,25.28,23.67,1.2,15.89,12081,9.39,9,NELLA_NORMA
AVL,AA,488,46.57,40.52,5.33,15.89,12081,30.68,10,ANOMALO_PEGGIORE
AVP,MQ,484,15.23,10.64,1.24,18.37,1591,-3.14,1,NELLA_NORMA
AVP,OH,238,15.91,2.02,1.26,18.37,1591,-2.46,2,NELLA_NORMA
AVP,AA,825,18.57,13.48,1.09,18.37,1591,0.2,3,NELLA_NORMA
AVP,OO,44,64.1,52.45,4.55,18.37,1591,45.73,4,ANOMALO_PEGGIORE
AZA,G4,5884,4.42,-0.96,0.71,4.42,5884,0.0,1,NELLA_NORMA
AZO,9E,14,2.64,-2.93,0.0,11.09,1005,-8.45,1,NELLA_NORMA
AZO,OO,991,11.21,5.64,1.61,11.09,1005,0.12,2,NELLA_NORMA
BDL,YX,513,-1.15,-8.01,0.39,12.24,22300,-13.39,1,NELLA_NORMA
BDL,MQ,560,5.38,1.68,1.43,12.24,22300,-6.86,2,NELLA_NORMA
BDL,UA,2195,6.23,1.53,1.32,12.24,22300,-6.01,3,NELLA_NORMA
BDL,9E,366,7.2,1.55,3.01,12.24,22300,-5.04,4,NELLA_NORMA
BDL,DL,4022,7.47,-0.3,0.8,12.24,22300,-4.77,5,NELLA_NORMA
BDL,NK,595,9.37,5.86,1.85,12.24,22300,-2.87,6,NELLA_NORMA
BDL,WN,4104,10.67,2.78,0.66,12.24,22300,-1.57,7,NELLA_NORMA
BDL,B6,3385,14.99,7.68,1.36,12.24,22300,2.75,8,NELLA_NORMA
BDL,AA,3974,15.36,10.05,1.64,12.24,22300,3.12,9,NELLA_NORMA
BDL,OH,1488,16.75,11.51,2.55,12.24,22300,4.51,10,NELLA_NORMA
BDL,OO,69,18.63,18.59,1.45,12.24,22300,6.39,11,NELLA_NORMA
BDL,F9,1029,36.47,31.18,2.92,12.24,22300,24.23,12,ANOMALO_PEGGIORE
BET,AS,726,8.41,12.03,1.1,8.41,726,0.0,1,NELLA_NORMA
BFF,OO,627,9.97,9.16,2.71,9.97,627,0.0,1,NELLA_NORMA
BFL,MQ,338,1.46,-4.22,0.3,6.98,2681,-5.52,1,NELLA_NORMA
BFL,OO,1421,4.94,-1.5,0.42,6.98,2681,-2.04,2,NELLA_NORMA
BFL,AA,922,12.17,7.56,1.08,6.98,2681,5.19,3,NELLA_NORMA
BGM,9E,367,12.44,7.25,3.27,12.44,367,0.0,1,NELLA_NORMA
BGR,9E,1262,2.57,-6.16,4.04,11.34,4636,-8.77,1,NELLA_NORMA
BGR,OH,811,9.41,-0.09,3.08,11.34,4636,-1.93,2,NELLA_NORMA
BGR,YX,1015,10.15,3.25,4.63,11.34,4636,-1.19,3,NELLA_NORMA
BGR,MQ,249,11.59,12.59,1.61,11.34,4636,0.25,4,NELLA_NORMA
BGR,OO,156,15.46,14.63,0.64,11.34,4636,4.12,5,NELLA_NORMA
BGR,G4,535,18.8,3.99,2.8,11.34,4636,7.46,6,NELLA_NORMA
BGR,AA,608,25.96,24.85,1.97,11.34,4636,14.62,7,NELLA_NORMA
BHM,UA,4,-4.25,-11.5,0.0,11.36,17231,-15.61,1,ANOMALO_MIGLIORE
BHM,YX,385,-1.21,-3.86,1.04,11.36,17231,-12.57,2,NELLA_NORMA
BHM,DL,2922,6.06,1.18,0.89,11.36,17231,-5.3,3,NELLA_NORMA
BHM,9E,1115,6.78,-0.66,3.5,11.36,17231,-4.58,4,NELLA_NORMA
BHM,MQ,2463,9.52,6.18,1.02,11.36,17231,-1.84,5,NELLA_NORMA
BHM,NK,73,10.16,11.7,0.0,11.36,17231,-1.2,6,NELLA_NORMA
BHM,WN,4303,12.43,7.38,0.84,11.36,17231,1.07,7,NELLA_NORMA
BHM,OO,1597,14.4,10.03,0.88,11.36,17231,3.04,8,NELLA_NORMA
BHM,OH,3980,15.07,11.28,1.48,11.36,17231,3.71,9,NELLA_NORMA
BHM,AA,389,26.46,24.75,1.54,11.36,17231,15.1,10,ANOMALO_PEGGIORE
BIH,OO,274,19.79,8.94,6.93,19.79,274,0.0,1,NELLA_NORMA
BIL,UA,736,1.81,-1.27,0.68,6.07,4149,-4.26,1,NELLA_NORMA
BIL,OO,1344,2.1,-0.82,0.6,6.07,4149,-3.97,2,NELLA_NORMA
BIL,DL,788,5.28,2.26,1.27,6.07,4149,-0.79,3,NELLA_NORMA
BIL,MQ,916,11.37,9.25,0.44,6.07,4149,5.3,4,NELLA_NORMA
BIL,G4,365,17.76,16.01,1.37,6.07,4149,11.69,5,NELLA_NORMA
BIS,9E,10,1.6,16.0,0.0,11.25,3974,-9.65,1,NELLA_NORMA
BIS,DL,630,6.7,-0.39,0.63,11.25,3974,-4.55,2,NELLA_NORMA
BIS,G4,543,6.89,-3.07,1.47,11.25,3974,-4.36,3,NELLA_NORMA
BIS,MQ,602,9.4,5.55,0.33,11.25,3974,-1.85,4,NELLA_NORMA
BIS,OO,2189,14.2,8.37,1.01,11.25,3974,2.95,5,NELLA_NORMA
BJI,OO,730,15.83,9.92,0.96,15.83,730,0.0,1,NELLA_NORMA
BLI,G4,959,0.99,-3.77,0.63,6.69,2544,-5.7,1,NELLA_NORMA
BLI,WN,620,8.83,2.15,0.65,6.69,2544,2.14,2,NELLA_NORMA
BLI,OO,965,11.0,12.4,0.73,6.69,2544,4.31,3,NELLA_NORMA
BLV,G4,1098,21.24,15.07,2.55,21.24,1098,0.0,1,NELLA_NORMA
BMI,9E,731,7.53,0.36,1.23,10.52,1750,-2.99,1,NELLA_NORMA
BMI,MQ,729,8.51,2.68,1.65,10.52,1750,-2.01,2,NELLA_NORMA
BMI,F9,60,9.53,12.97,3.33,10.52,1750,-0.99,3,NELLA_NORMA
BMI,G4,230,26.7,23.46,1.74,10.52,1750,16.18,4,ANOMALO_PEGGIORE
BNA,YX,5723,3.24,0.69,1.21,11.45,100205,-8.21,1,NELLA_NORMA
