airport,airline,flight_count,avg_dep_delay,avg_arr_delay,cancellation_rate_pct,airport_avg_dep_delay,airport_total_flights,dep_delay_diff,rank_in_airport,anomaly_label
ABE,G4,3678,8.43,0.64,1.63,11.81,8672,-3.38,1,NELLA_NORMA
ABE,9E,2034,9.42,0.67,1.38,11.81,8672,-2.39,2,NELLA_NORMA
ABE,OH,2330,14.25,3.12,1.29,11.81,8672,2.44,3,NELLA_NORMA
ABE,OO,630,30.63,22.01,3.81,11.81,8672,18.82,4,ANOMALO_PEGGIORE
ABI,MQ,3514,7.26,4.41,0.85,7.26,3514,0.0,1,NELLA_NORMA
ABQ,DL,3094,1.75,-5.59,0.9,9.13,48176,-7.38,1,NELLA_NORMA
ABQ,OO,7974,2.1,-2.05,0.45,9.13,48176,-7.03,2,NELLA_NORMA
ABQ,MQ,1814,5.28,3.25,0.66,9.13,48176,-3.85,3,NELLA_NORMA
ABQ,UA,3644,5.48,-0.32,1.04,9.13,48176,-3.65,4,NELLA_NORMA
ABQ,AS,846,8.42,4.52,0.95,9.13,48176,-0.71,5,NELLA_NORMA
ABQ,NK,1050,9.08,5.21,1.14,9.13,48176,-0.05,6,NELLA_NORMA
ABQ,WN,23220,10.47,4.34,0.53,9.13,48176,1.34,7,NELLA_NORMA
ABQ,AA,6024,17.29,14.6,2.09,9.13,48176,8.16,8,NELLA_NORMA
ABQ,B6,510,48.96,45.11,1.96,9.13,48176,39.83,9,ANOMALO_PEGGIORE
ABR,OO,1456,19.3,10.72,0.82,19.3,1456,0.0,1,NELLA_NORMA
ABY,9E,76,9.53,4.37,0.0,17.23,1530,-7.7,1,NELLA_NORMA
ABY,OO,1454,17.64,16.5,0.96,17.23,1530,0.41,2,NELLA_NORMA
ACK,B6,2014,11.6,8.42,3.87,13.27,3350,-1.67,1,NELLA_NORMA
ACK,YX,1238,14.99,15.23,8.4,13.27,3350,1.72,2,NELLA_NORMA
ACK,MQ,44,21.82,22.68,0.0,13.27,3350,8.55,3,NELLA_NORMA
ACK,OO,54,30.54,18.04,3.7,13.27,3350,17.27,4,ANOMALO_PEGGIORE
ACT,OO,1500,14.17,14.08,2.67,15.51,2174,-1.34,1,NELLA_NORMA
ACT,MQ,674,18.48,18.01,2.08,15.51,2174,2.97,2,NELLA_NORMA
ACV,OO,3474,19.81,17.94,1.9,19.81,3474,0.0,1,NELLA_NORMA
ACY,NK,6104,8.88,1.75,1.83,8.88,6104,0.0,1,NELLA_NORMA
ADK,AS,208,-6.06,-6.83,7.69,-6.06,208,0.0,1,NELLA_NORMA
ADQ,AS,1632,2.66,1.35,2.08,2.66,1632,0.0,1,NELLA_NORMA
AEX,9E,1756,14.56,9.6,1.03,16.84,3932,-2.28,1,NELLA_NORMA
AEX,OO,2110,18.04,13.54,2.27,16.84,3932,1.2,2,NELLA_NORMA
AEX,MQ,66,39.67,39.12,0.0,16.84,3932,22.83,3,ANOMALO_PEGGIORE
AGS,MQ,384,8.14,0.4,2.6,16.72,8040,-8.58,1,NELLA_NORMA
AGS,YX,62,9.94,-0.71,0.0,16.72,8040,-6.78,2,NELLA_NORMA
AGS,9E,3206,12.48,6.96,2.06,16.72,8040,-4.24,3,NELLA_NORMA
AGS,DL,336,17.85,12.74,0.0,16.72,8040,1.13,4,NELLA_NORMA
AGS,OH,3142,18.91,17.38,2.74,16.72,8040,2.19,5,NELLA_NORMA
AGS,OO,864,27.2,20.63,1.16,16.72,8040,10.48,6,NELLA_NORMA
