airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
9E,ABE,2034,-47.0,575.0,0.67,1.38,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ABY,76,-32.0,321.0,4.37,0.0,[ 1  2  3 11 12]
9E,AEX,1756,-34.0,979.0,9.6,1.03,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AGS,3206,-36.0,1091.0,6.96,2.06,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ALB,2178,-51.0,394.0,-4.38,1.93,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATL,53754,-43.0,1207.0,2.45,1.09,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATW,352,-34.0,420.0,9.34,0.0,[ 1  4  5  6  7  8  9 10]
9E,AUS,758,-35.0,1225.0,14.15,0.53,[ 1  2  3  4  5  6  7 11]
9E,AVL,1350,-43.0,949.0,1.91,2.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AZO,28,-22.0,71.0,-2.93,0.0,[1]
9E,BDL,732,-31.0,303.0,1.55,3.01,[ 1  2  3  4  5  6  7  8  9 10 12]
9E,BGM,734,-50.0,1051.0,7.25,3.27,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BGR,2524,-47.0,459.0,-6.16,4.04,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BHM,2230,-50.0,730.0,-0.66,3.5,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BIS,20,-17.0,102.0,16.0,0.0,[7 8 9]
9E,BMI,1462,-38.0,567.0,0.36,1.23,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BNA,2378,-43.0,1214.0,17.42,3.78,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BOS,16,-38.0,23.0,-17.86,12.5,[1]
9E,BQK,284,-31.0,508.0,8.09,0.0,[ 3  4  6  7 11 12]
9E,BTR,1004,-34.0,1015.0,5.52,1.79,[ 1  2  3  5  6  7  8  9 10 11 12]
9E,BTV,3566,-48.0,916.0,1.7,2.8,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BUF,3848,-49.0,996.0,0.6,3.01,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BWI,1000,-45.0,494.0,10.34,5.6,[ 1  2  3  4  5  6  7  8  9 10]
9E,CAE,2506,-37.0,542.0,1.16,1.92,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHA,3068,-41.0,1088.0,2.92,0.65,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHO,3568,-43.0,1063.0,2.28,2.69,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHS,3976,-46.0,849.0,3.79,4.28,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CID,320,-35.0,129.0,-2.62,0.0,[ 1  4  5  9 10 11]
9E,CLE,4968,-48.0,1132.0,5.66,2.78,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CLT,6272,-53.0,1027.0,9.03,3.92,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CMH,504,-40.0,344.0,1.48,0.4,[ 1  3  4  5  6  8  9 10 11 12]
9E,CRW,360,-36.0,149.0,-6.53,0.0,[ 1  3  4  9 10 11 12]
9E,CSG,1190,-37.0,1247.0,3.69,3.03,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CVG,13240,-56.0,1035.0,2.07,1.74,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CWA,1462,-44.0,386.0,-2.9,0.82,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DAY,966,-38.0,558.0,-2.4,2.28,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DCA,4036,-44.0,1036.0,8.48,1.93,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DFW,4,127.0,133.0,130.0,0.0,[12]
9E,DHN,1072,-41.0,937.0,3.56,0.56,[ 1  2  3  4  5  6  9 10 11 12]
9E,DLH,378,-27.0,241.0,8.02,1.06,[4 5 6 7 8 9]
9E,DSM,5190,-42.0,1272.0,0.87,1.73,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DTW,25480,-46.0,941.0,0.18,0.93,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ECP,48,-22.0,262.0,35.21,0.0,[1]
9E,EVV,1408,-40.0,422.0,-4.25,0.99,[ 1  2  3  6  7  8  9 10 11 12]
9E,EWR,3266,-50.0,1110.0,18.82,3.86,[ 1  2  3  4  5  6  7  8  9 10 11 12]
