airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
9E,ABE,1017,-47.0,575.0,0.67,1.38,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ABY,38,-32.0,321.0,4.37,0.0,[ 1  2  3 11 12]
9E,AEX,878,-34.0,979.0,9.6,1.03,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AGS,1603,-36.0,1091.0,6.96,2.06,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ALB,1089,-51.0,394.0,-4.38,1.93,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATL,26877,-43.0,1207.0,2.45,1.09,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATW,176,-34.0,420.0,9.34,0.0,[ 1  4  5  6  7  8  9 10]
9E,AUS,379,-35.0,1225.0,14.15,0.53,[ 1  2  3  4  5  6  7 11]
9E,AVL,675,-43.0,949.0,1.91,2.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AZO,14,-22.0,71.0,-2.93,0.0,[1]
9E,BDL,366,-31.0,303.0,1.55,3.01,[ 1  2  3  4  5  6  7  8  9 10 12]
9E,BGM,367,-50.0,1051.0,7.25,3.27,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BGR,1262,-47.0,459.0,-6.16,4.04,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BHM,1115,-50.0,730.0,-0.66,3.5,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BIS,10,-17.0,102.0,16.0,0.0,[7 8 9]
9E,BMI,731,-38.0,567.0,0.36,1.23,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BNA,1189,-43.0,1214.0,17.42,3.78,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BOS,8,-38.0,23.0,-17.86,12.5,[1]
9E,BQK,142,-31.0,508.0,8.09,0.0,[ 3  4  6  7 11 12]
9E,BTR,502,-34.0,1015.0,5.52,1.79,[ 1  2  3  5  6  7  8  9 10 11 12]
9E,BTV,1783,-48.0,916.0,1.7,2.8,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BUF,1924,-49.0,996.0,0.6,3.01,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BWI,500,-45.0,494.0,10.34,5.6,[ 1  2  3  4  5  6  7  8  9 10]
9E,CAE,1253,-37.0,542.0,1.16,1.92,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHA,1534,-41.0,1088.0,2.92,0.65,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHO,1784,-43.0,1063.0,2.28,2.69,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHS,1988,-46.0,849.0,3.79,4.28,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CID,160,-35.0,129.0,-2.62,0.0,[ 1  4  5  9 10 11]
