job,technology,subset,environment,elapsed_seconds
cleaning,PySpark,full,local,55.0
job31,SparkSQL,pct_050,local,48.2
job31,SparkCore,pct_050,local,45.2
job31,hive,pct_050,local,11.4
job32,SparkCore,pct_050,local,79.5
job32,SparkSQL,pct_050,local,70.3
job32,hive,pct_050,local,27.7
job33,SparkCore,pct_050,local,58.3
job33,SparkSQL,pct_050,local,56.1
job33,hive,pct_050,local,22.8
