airport,month,avg_arr_delay,avg_dep_delay,delay_band,flight_count,top3_causes
ABE,1,197.4,205.4,alto,5,"[('Carrier', 806.0)]"
ABE,1,-10.66,-4.75,basso,59,"[('Carrier', 806.0)]"
ABE,1,36.14,36.0,medio,7,"[('Carrier', 806.0)]"
ABE,2,77.33,94.0,alto,3,"[('Carrier', 87.0)]"
ABE,2,-23.12,-7.45,basso,82,"[('Carrier', 87.0)]"
ABE,2,8.75,34.5,medio,4,"[('Carrier', 87.0)]"
ABE,3,168.56,182.33,alto,9,"[('Carrier', 574.0)]"
ABE,3,-19.0,-6.77,basso,78,"[('Carrier', 574.0)]"
ABE,3,26.14,32.14,medio,7,"[('Carrier', 574.0)]"
ABE,4,284.5,308.0,alto,2,"[('Carrier', 485.0)]"
ABE,4,-20.23,-7.84,basso,69,"[('Carrier', 485.0)]"
ABE,4,26.44,28.44,medio,9,"[('Carrier', 485.0)]"
ABE,5,165.91,167.45,alto,11,"[('Carrier', 836.0)]"
ABE,5,-11.92,-6.51,basso,85,"[('Carrier', 836.0)]"
ABE,5,22.83,27.17,medio,6,"[('Carrier', 836.0)]"
ABE,6,147.57,158.43,alto,14,"[('Carrier', 467.0)]"
ABE,6,-16.73,-6.75,basso,71,"[('Carrier', 467.0)]"
ABE,6,19.1,23.4,medio,10,"[('Carrier', 467.0)]"
ABE,7,177.0,174.91,alto,11,"[('Carrier', 1177.0)]"
ABE,7,-8.7,-6.32,basso,69,"[('Carrier', 1177.0)]"
ABE,7,29.0,31.07,medio,14,"[('Carrier', 1177.0)]"
ABE,8,163.5,170.5,alto,4,"[('Carrier', 32.0)]"
ABE,8,-14.16,-7.44,basso,68,"[('Carrier', 32.0)]"
ABE,8,12.14,24.14,medio,7,"[('Carrier', 32.0)]"
ABE,9,113.5,119.5,alto,2,"[('Carrier', 96.0)]"
ABE,9,-14.13,-5.56,basso,82,"[('Carrier', 96.0)]"
ABE,9,27.5,36.67,medio,6,"[('Carrier', 96.0)]"
ABE,10,171.67,174.67,alto,3,"[('Carrier', 384.0)]"
ABE,10,-17.86,-6.81,basso,83,"[('Carrier', 384.0)]"
ABE,10,13.17,31.5,medio,6,"[('Carrier', 384.0)]"
ABE,11,111.33,124.67,alto,6,"[('Carrier', 155.0)]"
ABE,11,-13.21,-7.3,basso,70,"[('Carrier', 155.0)]"
ABE,11,17.8,32.2,medio,5,"[('Carrier', 155.0)]"
ABE,12,202.11,208.56,alto,9,"[('Carrier', 315.0)]"
ABE,12,-12.43,-4.47,basso,75,"[('Carrier', 315.0)]"
ABE,12,25.25,34.25,medio,4,"[('Carrier', 315.0)]"
ABI,1,105.75,106.0,alto,4,"[('Carrier', 8.0)]"
ABI,1,-5.36,-7.0,basso,33,"[('Carrier', 8.0)]"
ABI,1,25.0,26.0,medio,3,"[('Carrier', 8.0)]"
ABI,2,-5.76,-6.49,basso,41,"[('Carrier', 91.0)]"
ABI,2,36.75,33.25,medio,4,"[('Carrier', 91.0)]"
ABI,3,116.4,116.0,alto,5,"[('Weather', 91.0)]"
ABI,3,-7.65,-4.62,basso,34,"[('Weather', 91.0)]"
ABI,3,33.2,29.6,medio,5,"[('Weather', 91.0)]"
ABI,4,78.0,87.0,alto,3,"[('Carrier', 11.0)]"
ABI,4,-9.39,-3.65,basso,31,"[('Carrier', 11.0)]"
ABI,4,33.67,34.17,medio,6,"[('Carrier', 11.0)]"
ABI,5,121.5,124.0,alto,4,"[('Carrier', 237.0)]"
ABI,5,-7.75,-3.15,basso,20,"[('Carrier', 237.0)]"
ABI,5,35.78,31.89,medio,9,"[('Carrier', 237.0)]"
ABI,6,94.8,104.2,alto,5,"[('Carrier', 37.0)]"
ABI,6,-7.59,-3.76,basso,29,"[('Carrier', 37.0)]"
ABI,6,13.0,20.25,medio,4,"[('Carrier', 37.0)]"
ABI,7,64.0,73.0,alto,1,"[('Carrier', 93.0)]"
ABI,7,-6.97,-4.73,basso,30,"[('Carrier', 93.0)]"
ABI,7,26.4,32.8,medio,5,"[('Carrier', 93.0)]"
ABI,8,-9.17,-7.37,basso,30,"[('Carrier', 36.0)]"
ABI,8,23.67,26.5,medio,6,"[('Carrier', 36.0)]"
ABI,9,104.0,106.0,alto,1,"[('Carrier', 60.0)]"
ABI,9,-5.79,-4.68,basso,28,"[('Carrier', 60.0)]"
ABI,9,32.67,42.33,medio,3,"[('Carrier', 60.0)]"
ABI,10,247.0,257.0,alto,1,"[('Carrier', 247.0)]"
ABI,10,-10.07,-5.93,basso,29,"[('Carrier', 247.0)]"
ABI,10,14.0,15.0,medio,1,"[('Carrier', 247.0)]"
ABI,11,101.0,113.0,alto,2,"[('Carrier', 48.0)]"
ABI,11,-7.54,-4.46,basso,28,"[('Carrier', 48.0)]"
