airport,month,avg_arr_delay,avg_dep_delay,delay_band,flight_count,top3_causes
ABE,1,234.03,241.3,alto,30,"[('Carrier', 3134.0)]"
ABE,1,-13.9,-5.3,basso,288,"[('Carrier', 3134.0)]"
ABE,1,31.45,34.32,medio,31,"[('Carrier', 3134.0)]"
ABE,2,217.93,227.93,alto,14,"[('Carrier', 1762.0)]"
ABE,2,-19.31,-6.58,basso,300,"[('Carrier', 1762.0)]"
ABE,2,9.6,29.7,medio,20,"[('Carrier', 1762.0)]"
ABE,3,163.39,173.43,alto,23,"[('Carrier', 1588.0)]"
ABE,3,-18.26,-6.15,basso,341,"[('Carrier', 1588.0)]"
ABE,3,19.89,30.68,medio,28,"[('Carrier', 1588.0)]"
ABE,4,250.38,258.66,alto,29,"[('Carrier', 4242.0)]"
ABE,4,-17.13,-6.44,basso,306,"[('Carrier', 4242.0)]"
ABE,4,27.66,33.45,medio,29,"[('Carrier', 4242.0)]"
ABE,5,172.7,180.63,alto,40,"[('Carrier', 1805.0)]"
ABE,5,-12.31,-6.3,basso,325,"[('Carrier', 1805.0)]"
ABE,5,29.58,30.08,medio,26,"[('Carrier', 1805.0)]"
ABE,6,167.79,173.92,alto,38,"[('Carrier', 3288.0)]"
ABE,6,-16.26,-6.8,basso,339,"[('Carrier', 3288.0)]"
ABE,6,16.76,27.39,medio,38,"[('Carrier', 3288.0)]"
ABE,7,137.08,138.08,alto,37,"[('Carrier', 2405.0)]"
ABE,7,-9.98,-6.01,basso,297,"[('Carrier', 2405.0)]"
ABE,7,30.15,34.61,medio,41,"[('Carrier', 2405.0)]"
ABE,8,144.3,146.96,alto,27,"[('Carrier', 1509.0)]"
ABE,8,-13.59,-6.46,basso,299,"[('Carrier', 1509.0)]"
ABE,8,27.98,32.02,medio,42,"[('Carrier', 1509.0)]"
ABE,9,177.8,181.93,alto,15,"[('Carrier', 1080.0)]"
ABE,9,-15.68,-6.76,basso,280,"[('Carrier', 1080.0)]"
ABE,9,31.56,37.84,medio,25,"[('Carrier', 1080.0)]"
ABE,10,183.83,193.17,alto,18,"[('Carrier', 1564.0)]"
ABE,10,-17.22,-5.82,basso,314,"[('Carrier', 1564.0)]"
ABE,10,11.97,26.23,medio,31,"[('Carrier', 1564.0)]"
ABE,11,152.43,165.21,alto,14,"[('Carrier', 814.0)]"
ABE,11,-16.63,-6.35,basso,279,"[('Carrier', 814.0)]"
ABE,11,21.75,31.63,medio,24,"[('Carrier', 814.0)]"
ABE,12,222.15,229.03,alto,34,"[('Carrier', 4197.0)]"
ABE,12,-12.54,-4.8,basso,280,"[('Carrier', 4197.0)]"
ABE,12,23.85,32.5,medio,34,"[('Carrier', 4197.0)]"
ABI,1,115.0,112.5,alto,14,"[('Carrier', 106.0)]"
ABI,1,-4.02,-6.29,basso,126,"[('Carrier', 106.0)]"
ABI,1,36.73,38.91,medio,11,"[('Carrier', 106.0)]"
ABI,2,88.0,99.0,alto,1,"[('Carrier', 140.0)]"
ABI,2,-5.87,-6.43,basso,132,"[('Carrier', 140.0)]"
ABI,2,33.75,33.88,medio,8,"[('Carrier', 140.0)]"
ABI,3,134.08,132.67,alto,12,"[('Carrier', 553.0)]"
ABI,3,-6.84,-4.14,basso,122,"[('Carrier', 553.0)]"
ABI,3,27.08,24.08,medio,13,"[('Carrier', 553.0)]"
ABI,4,126.17,129.67,alto,12,"[('Carrier', 54.0)]"
ABI,4,-9.64,-4.08,basso,118,"[('Carrier', 54.0)]"
ABI,4,29.6,31.47,medio,15,"[('Carrier', 54.0)]"
ABI,5,195.59,190.68,alto,22,"[('Carrier', 1259.0)]"
ABI,5,-6.8,-2.82,basso,96,"[('Carrier', 1259.0)]"
ABI,5,25.04,27.88,medio,26,"[('Carrier', 1259.0)]"
ABI,6,108.77,116.54,alto,13,"[('Carrier', 525.0)]"
ABI,6,-10.07,-4.57,basso,114,"[('Carrier', 525.0)]"
ABI,6,25.72,28.33,medio,18,"[('Carrier', 525.0)]"
ABI,7,122.5,127.0,alto,10,"[('Carrier', 692.0)]"
ABI,7,-8.73,-4.23,basso,116,"[('Carrier', 692.0)]"
ABI,7,30.87,30.13,medio,23,"[('Carrier', 692.0)]"
ABI,8,89.5,91.5,alto,2,"[('Carrier', 101.0)]"
ABI,8,-8.8,-6.14,basso,132,"[('Carrier', 101.0)]"
ABI,8,22.67,27.25,medio,12,"[('Carrier', 101.0)]"
ABI,9,99.13,108.88,alto,8,"[('Carrier', 498.0)]"
ABI,9,-8.06,-5.33,basso,124,"[('Carrier', 498.0)]"
ABI,9,23.43,28.43,medio,14,"[('Carrier', 498.0)]"
ABI,10,125.5,135.5,alto,4,"[('Carrier', 388.0)]"
ABI,10,-12.23,-5.69,basso,142,"[('Carrier', 388.0)]"
ABI,10,32.0,32.0,medio,3,"[('Carrier', 388.0)]"
ABI,11,105.0,106.17,alto,6,"[('Carrier', 217.0)]"
ABI,11,-9.07,-4.43,basso,129,"[('Carrier', 217.0)]"
ABI,11,25.5,31.13,medio,8,"[('Carrier', 217.0)]"
ABI,12,117.08,111.0,alto,12,"[('Carrier', 428.0)]"
ABI,12,-6.1,-4.14,basso,132,"[('Carrier', 428.0)]"
ABI,12,21.57,28.71,medio,7,"[('Carrier', 428.0)]"
ABQ,1,134.59,137.95,alto,116,"[('Carrier', 4731.0)]"
ABQ,1,-8.3,-3.17,basso,1492,"[('Carrier', 4731.0)]"
ABQ,1,26.28,30.94,medio,200,"[('Carrier', 4731.0)]"
ABQ,2,153.48,155.35,alto,65,"[('Carrier', 4968.0)]"
ABQ,2,-8.32,-2.87,basso,1410,"[('Carrier', 4968.0)]"
ABQ,2,28.75,31.03,medio,157,"[('Carrier', 4968.0)]"
